용어,설명
CDOs (Collateralized Debt Obligations),"CDO는 다양하게 분석된 비교적 신용도가 낮은 회사채나 기업대출을 모아서 동 자산의 현금흐름에 근거하여 유동화 증권을 발행하는 것을 말한다. 이런 CDO 발행의 기본전제는 해당자산 풀(Pool)의 평균 수익률이 발행 유동화 증권의 수익률에 비해 높고, 분산된 자산의 집합을 통해서 전체 자산 풀(Pool)의 채무불이행(Default Probability)을 적정하게 통제될 수 있다는 것이다. CDO는 발행목적상 자산관리를 목적으로 하는 Balances Sheet Cods와 재정이익을 거두기 위한 Arbitrage Cods로 구분할 수 있다. "
1인당 국민소득,"국민총소득은 한 나라의 국민이 나라 안에서는 물론 외국에서 일정기간동안에 벌어들인 소득액을 모두 합한 것이다. 그런데 국민총소득만  가지고는 우리나라 국민이 미국이나 중국 등 다른 나라 국민에 비해 얼마나 잘 사는지를 알 수 없다. 왜냐하면 국민총소득을 보면 나라 전체의 소득 수준은 알 수 있지만 국민의 평균적인 생활수준은 파악하기 어려운데 이는 국민총소득이 많더라도 인구가 많으면 한사람에게 돌아가는 소득이 적기 때문이다.

따라서 국민총소득을 인구수로 나눈 1인당 국민소득을 통하여 국민 한 사람이 평균 얼마의 소득을 벌고 있는가를 알 수 있으며 1인당 국민소득은 다른 나라와의 비교를 위해서 미국 달러화로 표시한다.."
CMA,"고객이 예치한 자금을 양도성예금증서, 국공채 등의 채권에 투자하여 그 수익을 고객에게 돌려주는 금융상품"
EBIT 대 매출액,이자 및 법인세차감전 순이익(EBIT)은 기업의 경영성과를 평가하는데 있어서 타인자금을 사용하는 기업이 금융비용 발생으로 타인자금을 사용하지 않는 기업보다 수익성이 낮게 평가되는 것을 방지하기 위해 도입된 개념이다. 즉 EBIT는 경상이익에 금융비용을 더해 산출되므로 자금조달방법에 관계없이 수익성을 측정할 수 있다.
EBITDA 대 매출액,EBITDA는 이자 및 법인세차감전 순이익에 감가상각비와 무형자산상각비를 더하여 산출된다. 회계상의 순이익이 금융비용이나 감가상각비 등 영업외적 요인이나 회계처리방식 차이에 의해 영향을 받는데 비해 EBIT와 EBITDA는 이러한 영향이 배제된 경영성과를 측정할 수 있어 수익성 판단지표로 유용하게 쓰인다.
Fallen Angel,최초 발행시에는 투자적격채권이었으나 채권발행 이후 기업이 부실화되어 투자부적격으로 신용등급이 떨어진 고수익채권을 말한다. 
GDP디플레이터,명목GDP를 실질GDP로 나눈 값으로 나라 경제의 전반적인 물가수준을 의미한다.
IMF Debt Guide Final Draft 2001,"1990년대 이후 민간부문을 통한 국제자본 흐름의 급증 및 이를 반영한 국제수지통계 편제기준의 개편 등으로 기존 외채통계의 유용성이 크게 떨어짐에 따라 외채통계 편제에 관한 이전의 국제적 통일기준(Grey Book, 1988년)의 보완 필요성이 증대. 특히 1990년대중 수차례의 국제금융위기를 겪는 과정에서 포괄적이고 비교가능한 외채통계의 중요성에 대한 인식이 더욱 확산됨에 따라 국제통화기금(IMF) 등 8개 국제기구들은 새로운 외채통계 편제기준의 마련을 위한 공동작업을 추진하여, 2001년 11월 그동안의 여건변화를 반영한「외채통계 작성 및 이용 지침서」를 새로이 발표하였으며, 각 국은 동 지침에 따라 외채통계를 작성·발표하도록 권고.

   ㅇ 이 지침서는 이전의 통일기준에 도입되었던 많은 개념들을 확장하여 경제내 여러 부문과 각종 채무 형태에 일관되게 적용할 수 있는 분명한 기준을 제공. 아울러 국민계정 및 국제수지통계 편제에 관한 새로운 국제기준(1993 SNA 및 BPM5)과 포괄범위 분류방법 등을 최대한 일치시킴으로써 외채통계와 여타 거시경제통계간의 연계분석 및 국가간 비교분석에 있어 유용성이 제고되도록 함. 이외에도 외채통계 작성 및 활용과 관련된 여러가지 관점과 조언은 물론 국제기구들의 외채관련 활동을 소개함으로써 이용자들이 외채통계를 보다 깊이있게 이해할 수 있도록 하고 있음."
LBO 펀드,"대기업의 영업을 담당하고 있는 임직원이 시장동향과 사업확장 및 성공 가능성을 확인하는 자에게 대기업의 사업을 분리하여 회사를 신설하고 신설회사의 주식을 담보로 하여 분리회사의 인수대금을 지급하는 형태인데, 부채를 이용하여 기존 지분을 거의 매입하는 금융기법이다. 사실상 아직까지는 우리나라에 없는 시장이다. 매우 복잡한 금융기법을 쓰기 때문에 많은 금융인들이 지적 호기심을 갖고 있다. LBO 대상은 매우 안정적인 cash flow를 갖고 있으나 주식은 매우 저평가되어 있는 기업들이다. 우리나라는 정크본드 시장이 사실상 존재하지 않으므로 은행의 대출 관행이 아직 선진화 되지 않은 관계로 LBO환경이 좋지않다. "
LBO(Leveraged Buyout),"LBO란 매수대상기업의 자산을 담보로 금융기관으로부터 자금을 차입하여 기업을 매수하는 M&A의 한 방식이다. 기업을 매수한 후에는 매수한 기업의 자산을 매각하거나 기업공개 등의 방법을 통해 차입금을 상환한다. LBO의 대표적인 자금조달 수단으로는 LBO Loan, LBO Fund, Junk Bond 발행 등의 방법이 있다. LBO Loan은 기업매수자가 매수대상기업의 자산을 담보로 은행 등 금융기관으로부터 자금을 차입하여 기업을 매수하고 기업매수 후 피매수기업의 자산을 매각하여 차입금을 상환한다. 높은 위험부담 때문에 대형은행 등을 중심으로 신디케이트가 구성되어 자금지원이 이루어지는 것이 일반적이다. LBO fund는 투자은행(Investment Bank)이 직접 LBO 자금조달을 위한 펀드를 설정하고 투자자(대형은행, 생보사, 연기금 등의 기관투자자)들로부터 자금을 모집하여 매수대상기업의 주식을 매입함으로써 경영권을 확득하는 방법이다. "
MMDA(Money Market Deposit Account),"(정의)은행이나 수산업협동조합·농업협동조합에서 취급하는 금융상품의 하나로, 본래 미국의 은행이 투자신탁회사의 단기금융상품인 MMF(money market funds)에 대응하기 위해 도입한 고금리 저축성 예금.국내에는 1997년 제4단계 금리자유화 이후 도입되었으며, 은행시장금리부 수시입출금예금 또는 단기금융시장 예금계정·화폐시장 예금계정이라고도 함.(해설)보통예금처럼 입출금이 자유롭고, 각종 이체와 결제도 할 수 있으며, 예금자보호법에 의하여 5000만 원 한도 내에서 보호를 받을 수 있다. 또한 실세 금리를 적용하여 보통예금보다 비교적 높은 이자를 지급하며, 가입대상에 제한이 없어 일시적인 목돈을 운용하는 데에 적합하다는 장점을 지닌다. 단 500만 원 미만의 소액이거나 법인의 경우 예치기간이 7일 미만일 때는 이자율이 낮거나 없을 수도 있다."
MMF,"투자신탁회사가 고객들의 자금을 모아 펀드를 구성하고 이를 기업어음(CP), 양도성예금증서(CD), 콜론 등 주로 단기금융상품에 투자하는 금융상품"
OECD 경기선행지수,"OECD에서 글로벌 및 개별 국가의 경기전환점을 조기에 파악하기 위해 작성·발표하는 지표로서 주택착공호수, 장단기금리차 등 경기에 선행하는 것으로 알려진 주요 실물·금융 지표들을 이용하여 개별 국가의 경기선행지수를 산출한 뒤 이를 바탕으로 글로벌, 권역 단위의 지수를 작성하여 발표 "
Pay-off,보험금을 지급하고 금융기관을 폐쇄하는 정리방식이다. 자산부채인수(P&A)방식이나 부보예금이전(Insured Deposit Transfer:IDT) 정리방식이 최소비용정리방식이 아닌 것으로 판단될 때 사용하는 정리방식이다. 대개 지급금액을 고객에게 송급한다. 여기서 P&A방식은 건전한 부보예금취급기관이 예금서비스의 계속성을 보장하면서 부실금융기관 자산의 일부 또는 전부를 매입하고 부채의 일부 또는 전부를 인수하여 혼란을 최소화하는 정리방식이다. 한편 IDT방식은 부실금융기관의 부보예금계좌를 건전기관에 이전하는 정리방법으로 FDIC 등은 이전하는 총예금에서 프레미엄을 공제하여 이전기관에 현금을 지급하고 이전기관은 부실은행 고객에게 부보예금을 지급하거나 새구좌를 자기은행에 신설한다. 
Quarterly Bankruptcy Index(QBI),"QBI는 미국 파산법원에 신청된 파산건수를 1,000개를 기준단위로 측정하여 설계된 지수이다. QBI에 대한 선물과 옵션이 CME(Chicago Mercantile Exchange)에서 거래되고 있다. QBI는 특정분기까지 누적된 파산신청건수를 1,000으로 나누어 계산한다. 예를 들어 특정분기까지의 누적파산신청건수가 350,000이면 CME QBI는 350이다. QBI는 채무불이행위험을 헤지하기 위하여 CME-QBI 선물이나 CME-QBI 옵션을 활용한다. 최저가격변동폭(tick)은 인덱스포인트 단위당 0.025 혹은 25 filing이다. "
Turnaround Cost,"재무구조 악화에 따른 과다한 금융비용으로 자체 생존이 어려운 기업이 향후 생존이 가능한 수준으로 재무구조를 개선하기 위하여 투입되어야 하는 비용을 말한다. Turnaround Cost 산정의 핵심은 사업가치 평가에 있다. 사업가치는 미래 영업현금 흐름 추정으로 귀결되며, 미래 영업현금 흐름을 추정하기 위해서는 시장 성장성, 경쟁력 평가, 시장 구조변화 분석이 체계적으로 이루어져야 한다. "
가격결정,"시장에서 수요자(소비자)는 물건을 될 수 있는 한 싸게 사고 공급자(생산자)는 가능한 한 물건을 비싸게 파는 것이 유리하다. 그러나 이러한 물건의 가격은 수요자나 공급자 어느 한쪽이 일방적으로 결정하는 것이 아니라 시장에서 그 물건의 수요와 공급의 양에 따라 결정된다.

즉, 어떤 물건이 인기가 좋아 이 물건을 사려는 사람은 많은데 팔겠다는 물건의 양이 적은 경우(수요량이 공급량보다 많은 경우)에는 가격이 올라가고 반대로 사겠다는 양보다 더 많은 물건이 시장에 공급되면 가격은 떨어지게 된다.

아이스크림을 예로 들어 설명해보자. 어떤 나라에서 나라 전체의 상점에 공급되는 아이스크림의 양은 변하지 않고 일정한 양이 공급되고 있는데 아이스크림을 사려는 사람(수요량)이 현재보다 늘어난다면 아이스크림의 가격은 현재보다 올라가게 된다.

이렇게 아이스크림의 가격이 많이 오르게 되면  아이스크림을 사려는 사람의 수가 줄어들게 되고 공급되는 아이스크림의 양은 상대적으로 늘어나게 되어 아이스크림의 가격을 통하여  아이스크림의 수요와 공급은 어떤 균형점을 갖게 된다.  이와같은 일련의 과정을 가격결정 메커니즘이라고 부르며
이렇듯 시장에서는 다수의 수요자와 공급자가 가격을 매개로 물건을 공급하고 구매(수요)하는 활동을 통하여 가격이 결정된다"
가계,경제활동의 결과 얻어진 대가를 수입원으로 하여 상품과 서비스의 최종적 소비활동을 영위하는 경제주체를 말한다. 가계는 경제분석에서 기업과 정부와 함께 경제활동을 영위하는 주체 중에서 중요한 부문을 구성한다. 구체적으로는 세대를 단위로 하며 세대는 생계를 같이하는 일단의 동거인을 총칭하는 개념이다. 국민계정(SNA)에서는 가계란 동일한 주거시설을 사용하고 소득과 부의 일부 또는 전부를 공유하며 특정 유형의 재화 및 서비스(주로 주거와 음식)를 집합적으로 소비하는 소규모 개인집단으로 정의된다.
가계 순저축률,가계 순저축액(총저축액-고정자본소모)을 가계의 순조정처분가능소득과 연금기금의 가계순지분 증감액을 더한 금액으로 나누어 계산한다.
가계소비지출,"가구에서 가구원의 생활에 필요한 재화나 용역을 구입한 대가로 지출되는 일체의 비용으로서 식료품비, 광열수도비, 교육비, 교양오락비, 주거비, 피복신발비, 교통통신비, 기타잡비로 구성되며 현금지출 외에 자가소비 평가액, 주거용 건물의 감가상각액도 포함된다.(가계조사에서는 주거용 건물의 감가상각액이 제외된다)"
